LoopIndex,Monitoring Scheme,Vector Length,# Nodes,Approximation,Bandwidth,# Messages,# Full Syncs,Lower-Bound,Function's Value,Upper-Bound,,Server 1,Server 2,Server 3,Server 4
19,Naive,80802,4,Lower0.5Upper2,6140952,76,19,36696175,73392350,146784700,,4364,52035852,25525,2036944
19,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,73392350,147229506,,4364,52035852,25525,2036944
20,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
20,Naive,80802,4,Lower0.5Upper2,6464160,80,20,38048601,76097202,152194404,,4327,54150123,25035,2085864
20,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,76097202,147229506,,4327,54150123,25035,2085864
21,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
21,Naive,80802,4,Lower0.5Upper2,6787368,84,21,39006755,78013510,156027020,,4344,55713398,25448,2098637
21,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,78013510,147229506,,4344,55713398,25448,2098637
22,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
22,Naive,80802,4,Lower0.5Upper2,7110576,88,22,39670877.5,79341755,158683510,,4423,56739839,25842,2122790
22,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,79341755,147229506,,4423,56739839,25842,2122790
23,Value,80802,4,Lower0.5Upper2,28,35,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,FGM,80802,4,Lower0.5Upper2,123,123,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
23,Naive,80802,4,Lower0.5Upper2,7433784,92,23,40159611.5,80319223,160638446,,4637,57447571,25971,2144684
23,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,80319223,147229506,,4637,57447571,25971,2144684
24,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
24,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
24,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
24,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
24,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
24,Naive,80802,4,Lower0.5Upper2,7756992,96,24,40581218.5,81162437,162324874,,4756,58110512,25563,2159273
24,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,81162437,147229506,,4756,58110512,25563,2159273
25,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
25,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
25,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
25,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
25,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
25,Naive,80802,4,Lower0.5Upper2,8080200,100,25,40913413,81826826,163653652,,4902,58659623,25656,2162399
25,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,81826826,147229506,,4902,58659623,25656,2162399
26,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
26,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
26,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
26,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
26,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
26,Naive,80802,4,Lower0.5Upper2,8403408,104,26,41126624,82253248,164506496,,4960,58997371,25812,2168396
26,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82253248,147229506,,4960,58997371,25812,2168396
27,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
27,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
27,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
27,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
27,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
27,Naive,80802,4,Lower0.5Upper2,8726616,108,27,41278535.5,82557071,165114142,,4975,59246593,25734,2171549
27,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82557071,147229506,,4975,59246593,25734,2171549
28,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
28,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
28,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
28,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
28,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
28,Naive,80802,4,Lower0.5Upper2,9049824,112,28,41343778.5,82687557,165375114,,4994,59356490,25774,2170257
28,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82687557,147229506,,4994,59356490,25774,2170257
29,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
29,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
29,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
29,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
29,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
29,Naive,80802,4,Lower0.5Upper2,9373032,116,29,41355540,82711080,165422160,,4935,59382574,25709,2171720
29,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82711080,147229506,,4935,59382574,25709,2171720
30,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
30,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
30,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
30,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
30,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
30,Naive,80802,4,Lower0.5Upper2,9696240,120,30,41306616.5,82613233,165226466,,4961,59333563,25129,2169171
30,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82613233,147229506,,4961,59333563,25129,2169171
31,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
31,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
31,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
31,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
31,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
31,Naive,80802,4,Lower0.5Upper2,10019448,124,31,41293216,82586432,165172864,,5001,59410056,24634,2154403
31,Dist L2,80802,4,Lower0.5Upper2,34,44,0,36807376.5,82586432,147229506,,5001,59410056,24634,2154403
32,Value,80802,4,Lower0.5Upper2,32,40,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
32,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
32,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
32,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
32,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
32,Naive,80802,4,Lower0.5Upper2,10342656,128,32,41530070.5,83060141,166120282,,4964,59709027,25035,2182440
32,Dist L2,80802,4,Lower0.5Upper2,38,49,0,36807376.5,83060141,147229506,,4964,59709027,25035,2182440
33,Value,80802,4,Lower0.5Upper2,36,45,0,36807376.5,84095450,147229506,,5087,60441105,25048,2219257
33,FGM,80802,4,Lower0.5Upper2,124,124,0,36807376.5,84095450,147229506,,5087,60441105,25048,2219257
33,Vector,80802,4,Lower0.5Upper2,2747268,45,0,36807376.5,84095450,147229506,,5087,60441105,25048,2219257
33,Oracle Vector,80802,4,Lower0.5Upper2,2262456,35,0,36807376.5,84095450,147229506,,5087,60441105,25048,2219257
33,Oracle,80802,4,Lower0.5Upper2,0,0,0,36807376.5,84095450,147229506,,5087,60441105,25048,2219257
